element_tran,node1,node2
O=c1oc2cc(N(C[*:1])C[*:1])ccc2cc1[*:1] --->>>--- C(=C[*:1])c1ccc(N([*:1])[*:1])cc1,O=c1oc2cc(N(C[*:1])C[*:1])ccc2cc1[*:1],C(=C[*:1])c1ccc(N([*:1])[*:1])cc1
O=c1oc2cc(N(C[*:2])C[*:2])ccc2cc1[*:2] --->>>--- C(=C[*:2])c1ccc(N([*:2])[*:2])cc1,O=c1oc2cc(N(C[*:2])C[*:2])ccc2cc1[*:2],C(=C[*:2])c1ccc(N([*:2])[*:2])cc1
O=c1oc2cc(N(C[*:3])C[*:3])ccc2cc1[*:3] --->>>--- C(=C[*:3])c1ccc(N([*:3])[*:3])cc1,O=c1oc2cc(N(C[*:3])C[*:3])ccc2cc1[*:3],C(=C[*:3])c1ccc(N([*:3])[*:3])cc1
O=c1oc2cc(N([*:1])[*:1])ccc2cc1[*:1] --->>>--- C1=C(c2ccccc2)Oc2cc3c(cc2C1=C[*:1])N([*:1])C1CCCCC1N3[*:1],O=c1oc2cc(N([*:1])[*:1])ccc2cc1[*:1],C1=C(c2ccccc2)Oc2cc3c(cc2C1=C[*:1])N([*:1])C1CCCCC1N3[*:1]
O=c1oc2cc(N([*:2])[*:2])ccc2cc1[*:2] --->>>--- C1=C(c2ccccc2)Oc2cc3c(cc2C1=C[*:2])N([*:2])C1CCCCC1N3[*:2],O=c1oc2cc(N([*:2])[*:2])ccc2cc1[*:2],C1=C(c2ccccc2)Oc2cc3c(cc2C1=C[*:2])N([*:2])C1CCCCC1N3[*:2]
O=c1oc2cc(N([*:3])[*:3])ccc2cc1[*:3] --->>>--- C1=C(c2ccccc2)Oc2cc3c(cc2C1=C[*:3])N([*:3])C1CCCCC1N3[*:3],O=c1oc2cc(N([*:3])[*:3])ccc2cc1[*:3],C1=C(c2ccccc2)Oc2cc3c(cc2C1=C[*:3])N([*:3])C1CCCCC1N3[*:3]
O=C[*:1] --->>>--- O=C(O)C=CC=C[*:1],O=C[*:1],O=C(O)C=CC=C[*:1]
O=C[*:2] --->>>--- O=C(O)C=CC=C[*:2],O=C[*:2],O=C(O)C=CC=C[*:2]
O=C[*:3] --->>>--- O=C(O)C=CC=C[*:3],O=C[*:3],O=C(O)C=CC=C[*:3]
O=C(Oc1ccc([*:1])cc1)[*:1] --->>>--- CN(c1ccc(-c2ccc([*:1])s2)cc1)[*:1],O=C(Oc1ccc([*:1])cc1)[*:1],CN(c1ccc(-c2ccc([*:1])s2)cc1)[*:1]
O=C(Oc1ccc([*:2])cc1)[*:2] --->>>--- CN(c1ccc(-c2ccc([*:2])s2)cc1)[*:2],O=C(Oc1ccc([*:2])cc1)[*:2],CN(c1ccc(-c2ccc([*:2])s2)cc1)[*:2]
O=C(Oc1ccc([*:3])cc1)[*:3] --->>>--- CN(c1ccc(-c2ccc([*:3])s2)cc1)[*:3],O=C(Oc1ccc([*:3])cc1)[*:3],CN(c1ccc(-c2ccc([*:3])s2)cc1)[*:3]
O=C(Oc1ccc([*:1])cc1)[*:1] --->>>--- CN(c1ccc([*:1])cc1)[*:1],O=C(Oc1ccc([*:1])cc1)[*:1],CN(c1ccc([*:1])cc1)[*:1]
O=C(Oc1ccc([*:2])cc1)[*:2] --->>>--- CN(c1ccc([*:2])cc1)[*:2],O=C(Oc1ccc([*:2])cc1)[*:2],CN(c1ccc([*:2])cc1)[*:2]
O=C(Oc1ccc([*:3])cc1)[*:3] --->>>--- CN(c1ccc([*:3])cc1)[*:3],O=C(Oc1ccc([*:3])cc1)[*:3],CN(c1ccc([*:3])cc1)[*:3]
O=C(OC=C[*:1])[*:1] --->>>--- CN1C(=CC=C[*:1])C(C)([*:1])c2ccccc21,O=C(OC=C[*:1])[*:1],CN1C(=CC=C[*:1])C(C)([*:1])c2ccccc21
O=C(OC=C[*:2])[*:2] --->>>--- CN1C(=CC=C[*:2])C(C)([*:2])c2ccccc21,O=C(OC=C[*:2])[*:2],CN1C(=CC=C[*:2])C(C)([*:2])c2ccccc21
O=C(OC=C[*:3])[*:3] --->>>--- CN1C(=CC=C[*:3])C(C)([*:3])c2ccccc21,O=C(OC=C[*:3])[*:3],CN1C(=CC=C[*:3])C(C)([*:3])c2ccccc21
O=C(OC=C[*:1])[*:1] --->>>--- CN(C=C[*:1])[*:1],O=C(OC=C[*:1])[*:1],CN(C=C[*:1])[*:1]
O=C(OC=C[*:2])[*:2] --->>>--- CN(C=C[*:2])[*:2],O=C(OC=C[*:2])[*:2],CN(C=C[*:2])[*:2]
