smiles,predicted_prob,predicted_label,SA_Score
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CN(C)C)c2ccccc21,0.8770714165235562,1,3.72
CC[N+]1=C(C=CC=CC=C2N(CC=CC=CC3=[N+](CC)c4ccccc4C3(C)C)c3ccccc3C2(C)C=CC=CC2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.87650891565436,1,4.78
C#Cc1ccc(CCN2/C(=C\C=C\C=C\C3=[N+](CC)c4ccccc4C3(C)C)C(C)(C)c3ccccc32)cc1,0.8762431673287797,1,3.18
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(CC=Cc2c[nH]c3ccccc23)c2ccccc21,0.8762416027010288,1,3.83
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cc(c4ccc(-c5ccc(N(C)C)cc5)s4)ccc3C2(C)C)C(C)(C)c2ccccc21,0.8759222917584587,1,3.37
CCN1/C(=C\C=C\C=C\C2=[N+](CCC=CC=CC=C3C=C(c4ccccc4)Oc4cc(N(C)C)ccc43)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8729792996151441,1,3.87
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2c1cccc2C=Cc1ccc(N2c3ccccc3CCc3ccccc32)cc1,0.8703170271985087,1,3.54
CCN1/C(=C\C=C\C=C(\C2=[N+](CC)c3ccccc3C2(C)C)C=CC=CC=C2C=C(c3ccccc3)Oc3cc(N(C)C)ccc32)C(C)(C)c2ccccc21,0.870185746463938,1,3.96
CCN1/C(=C\C=C\C=C\C2=[N+](CCC=C3C=Cc4ccccc4N3C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8697026833931384,1,3.58
CCN1/C(=C\C=C\C=C\C2=[N+](C(C)c3ccc(-c4ccc(N(C)C)cc4)s3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8689580867226676,1,3.91
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccc(C=Cc4ccc(N5c6ccccc6CCc6ccccc65)cc4)cc3C2(C)C)C(C)(C)c2ccccc21,0.8651866488475956,1,3.48
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)C=CC=C3N(C)c4ccccc4C3(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8642780882685159,1,4.11
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2cccc(C=Cc3ccc(N4c5ccccc5CCc5ccccc54)cc3)c21,0.8631182610809972,1,3.55
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=Cc3c[nH]c4ccccc34)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8623112533844245,1,3.33
CC[N+]1=C(/C=C/C=C/C=C2\N(CCN(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8607281887182751,1,3.10
CCN1/C(=C\C=C\C=C\C2=[N+](CCC=CC=C3N(C)c4ccccc4C3(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8588422185663366,1,3.56
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2cccc(C=C3C=Cc4ccccc4N3C)c21,0.8586058689799546,1,3.63
CC[N+]1=C(/C=C/C=C/C=C2\N(CCc3ccc(OC)cc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8586010989759492,1,3.00
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccc(C=Cc3ccc(N4c5ccccc5CCc5ccccc54)cc3)cc21,0.8585359439774038,1,3.51
